Ref,Val,Package,PosX,PosY,Rot,Side
"SK68XX_Mini1","SK68XXMini","SK68XXMini",115.251382,13.966388,180.000000,top
"SK68XX_Mini2","SK68XXMini","SK68XXMini",70.440000,31.635000,180.000000,top
"SK68XX_Mini3","SK68XXMini","SK68XXMini",108.585000,61.740000,180.000000,top
"SK68XX_Mini4","SK68XXMini","SK68XXMini",70.485000,69.740000,180.000000,top
"SK68XX_Mini5","SK68XXMini","SK68XXMini",22.860000,52.220000,180.000000,top
"SK68XX_Mini6","SK68XXMini","SK68XXMini",22.860000,90.370000,180.000000,top
"SK68XX_Mini7","SK68XXMini","SK68XXMini",70.485000,107.875000,180.000000,top
"SK68XX_Mini8","SK68XXMini","SK68XXMini",108.740000,99.885000,180.000000,top
"SK68XX_Mini38","SK68XXMini","SK68XXMini",181.449654,13.868712,180.000000,top
"SK68XX_Mini39","SK68XXMini","SK68XXMini",226.122200,31.655000,180.000000,top
"SK68XX_Mini40","SK68XXMini","SK68XXMini",188.022200,61.775000,180.000000,top
"SK68XX_Mini41","SK68XXMini","SK68XXMini",226.122200,69.805000,180.000000,top
"SK68XX_Mini42","SK68XXMini","SK68XXMini",273.747200,52.250000,180.000000,top
"SK68XX_Mini43","SK68XXMini","SK68XXMini",273.747200,90.330000,180.000000,top
"SK68XX_Mini44","SK68XXMini","SK68XXMini",226.070000,107.845000,180.000000,top
"SK68XX_Mini45","SK68XXMini","SK68XXMini",188.022200,99.815000,180.000000,top
